SCG ID,Component,Title,Implementation Priority,Bridging SCF Controls,Mapped Framework Controls
esx-9.session-timeout,ESX,The ESX Host Client must enforce an idle session timeout.,P2,IAC-25,"T1021.001, T1072, T1185, T1505.005, T1563, T1563.002"
esx-9.shell-interactive-timeout,ESX,Configure the inactivity timeout to automatically terminate idle ESX host shells.,P0,IAC-25,"T1021.001, T1072, T1185, T1505.005, T1563, T1563.002"
esx-9.shell-timeout,ESX,Set a timeout to limit how long the ESX Shell and SSH services are allowed to run.,P0,IAC-25,"T1021.001, T1072, T1185, T1505.005, T1563, T1563.002"
esx-9.snmp,ESX,The SNMP service on the ESX host must not be configured to start automatically.,P0,CFG-03,"T1003, T1003.001, T1003.002, T1003.005, T1008, T1011, T1011.001, T1020.001, T1021, T1021.001, T1021.002, T1021.003, T1021.005, T1021.006, T1021.008, T1027, T1036, T1036.005, T1036.007, T1036.008, T1037, T1037.001, T1040, T1046, T1047, T1048, T1048.001, T1048.002, T1048.003, T1052, T1052.001, T1053, T1053.002, T1053.005, T1059, T1059.005, T1059.007, T1059.009, T1059.010, T1068, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1072, T1078, T1078.004, T1080, T1087, T1087.001, T1087.002, T1090, T1090.001, T1090.002, T1090.003, T1092, T1095, T1098, T1098.001, T1098.004, T1098.007, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1106, T1112, T1127, T1127.002, T1129, T1133, T1135, T1136, T1136.002, T1136.003, T1176, T1187, T1190, T1195, T1195.001, T1195.002, T1197, T1199, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1210, T1213, T1213.001, T1213.002, T1213.004, T1213.005, T1216, T1216.001, T1216.002, T1218, T1218.001, T1218.002, T1218.003, T1218.004, T1218.005, T1218.007, T1218.008, T1218.009, T1218.012, T1218.013, T1218.014, T1218.015, T1219, T1220, T1221, T1482, T1484, T1489, T1490, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505.004, T1525, T1530, T1537, T1542.004, T1542.005, T1543, T1546.002, T1546.006, T1546.008, T1546.009, T1546.010, T1547.004, T1547.006, T1547.007, T1547.009, T1548, T1548.001, T1548.003, T1548.004, T1548.006, T1552, T1552.003, T1552.005, T1552.007, T1553, T1553.001, T1553.003, T1553.004, T1553.005, T1553.006, T1555.004, T1555.006, T1556, T1556.002, T1556.008, T1556.009, T1557, T1557.001, T1557.002, T1557.003, T1559, T1559.002, T1559.003, T1562, T1562.001, T1562.002, T1562.003, T1562.004, T1562.006, T1562.009, T1562.010, T1563, T1563.001, T1563.002, T1564.002, T1564.003, T1564.006, T1564.008, T1564.009, T1565, T1565.003, T1569, T1569.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1574, T1574.001, T1574.006, T1574.007, T1574.008, T1574.009, T1574.012, T1574.014, T1590.002, T1599, T1599.001, T1601, T1601.001, T1601.002, T1602, T1602.001, T1602.002, T1609, T1610, T1611, T1612, T1613, T1622, T1647, T1648, T1653"
esx-9.ssh,ESX,The ESX host's SSH service must be deactivated except for temporary diagnostic use.,P2,CFG-03,"T1003, T1003.001, T1003.002, T1003.005, T1008, T1011, T1011.001, T1020.001, T1021, T1021.001, T1021.002, T1021.003, T1021.005, T1021.006, T1021.008, T1027, T1036, T1036.005, T1036.007, T1036.008, T1037, T1037.001, T1040, T1046, T1047, T1048, T1048.001, T1048.002, T1048.003, T1052, T1052.001, T1053, T1053.002, T1053.005, T1059, T1059.005, T1059.007, T1059.009, T1059.010, T1068, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1072, T1078, T1078.004, T1080, T1087, T1087.001, T1087.002, T1090, T1090.001, T1090.002, T1090.003, T1092, T1095, T1098, T1098.001, T1098.004, T1098.007, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1106, T1112, T1127, T1127.002, T1129, T1133, T1135, T1136, T1136.002, T1136.003, T1176, T1187, T1190, T1195, T1195.001, T1195.002, T1197, T1199, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1210, T1213, T1213.001, T1213.002, T1213.004, T1213.005, T1216, T1216.001, T1216.002, T1218, T1218.001, T1218.002, T1218.003, T1218.004, T1218.005, T1218.007, T1218.008, T1218.009, T1218.012, T1218.013, T1218.014, T1218.015, T1219, T1220, T1221, T1482, T1484, T1489, T1490, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505.004, T1525, T1530, T1537, T1542.004, T1542.005, T1543, T1546.002, T1546.006, T1546.008, T1546.009, T1546.010, T1547.004, T1547.006, T1547.007, T1547.009, T1548, T1548.001, T1548.003, T1548.004, T1548.006, T1552, T1552.003, T1552.005, T1552.007, T1553, T1553.001, T1553.003, T1553.004, T1553.005, T1553.006, T1555.004, T1555.006, T1556, T1556.002, T1556.008, T1556.009, T1557, T1557.001, T1557.002, T1557.003, T1559, T1559.002, T1559.003, T1562, T1562.001, T1562.002, T1562.003, T1562.004, T1562.006, T1562.009, T1562.010, T1563, T1563.001, T1563.002, T1564.002, T1564.003, T1564.006, T1564.008, T1564.009, T1565, T1565.003, T1569, T1569.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1574, T1574.001, T1574.006, T1574.007, T1574.008, T1574.009, T1574.012, T1574.014, T1590.002, T1599, T1599.001, T1601, T1601.001, T1601.002, T1602, T1602.001, T1602.002, T1609, T1610, T1611, T1612, T1613, T1622, T1647, T1648, T1653"
esx-9.supported,ESX,The ESX host must run a build of ESX that has not reached End of General Support.,P2,TDA-17,"T1189, T1195, T1195.001, T1195.002, T1543, T1543.002"
esx-9.tls-ciphers,ESX,"The ESX host's TLS profile must restrict negotiated ciphers and protocols to a modern, approved set.",P0,CRY-03,"T1020.001, T1040, T1090, T1090.004, T1550.001, T1550.004, T1552.007, T1557, T1557.001, T1557.002, T1557.003, T1557.004, T1562, T1562.006, T1562.009, T1562.010, T1602, T1602.001, T1602.002, T1622"
esx-9.tpm-configuration,ESX,The ESX host must require TPM-based configuration encryption.,P2,CRY-05,"T1003, T1003.001, T1003.002, T1003.003, T1003.004, T1003.005, T1003.006, T1003.007, T1003.008, T1005, T1025, T1041, T1048, T1048.002, T1048.003, T1052, T1052.001, T1078, T1078.001, T1078.003, T1078.004, T1213, T1213.001, T1213.002, T1213.004, T1213.005, T1530, T1550.001, T1552, T1552.001, T1552.002, T1552.003, T1552.004, T1565, T1565.001, T1565.003, T1567, T1599, T1599.001, T1602, T1602.001, T1602.002"
esx-9.transparent-page-sharing,ESX,The ESX host must restrict inter-VM transparent page sharing to VMs configured with sched.mem.pshare.salt.,P2,SEA-05,"T1020.001, T1040, T1070, T1070.001, T1070.002, T1070.008, T1080, T1119, T1530, T1552, T1552.001, T1552.002, T1552.004, T1557, T1557.002, T1558, T1558.002, T1558.003, T1558.004, T1558.005, T1564.009, T1565, T1565.001, T1565.002, T1565.003, T1595.003, T1602, T1602.001, T1602.002"
esx-9.updates,ESX,The ESX host must have all available software updates and patches installed.,P0,VPM-05,"T1003, T1003.001, T1027, T1027.002, T1027.007, T1027.008, T1027.009, T1047, T1055, T1055.001, T1055.002, T1055.003, T1055.004, T1055.005, T1055.008, T1055.009, T1055.011, T1055.012, T1055.013, T1055.014, T1059, T1059.001, T1059.005, T1059.006, T1068, T1072, T1106, T1137, T1137.003, T1137.004, T1137.005, T1189, T1190, T1195, T1195.001, T1195.002, T1195.003, T1203, T1204, T1204.001, T1204.003, T1210, T1211, T1212, T1213.003, T1213.005, T1221, T1495, T1525, T1542, T1542.001, T1542.003, T1542.004, T1542.005, T1546, T1546.006, T1546.010, T1546.011, T1546.016, T1547.006, T1548, T1548.002, T1548.006, T1550.002, T1552, T1552.006, T1553, T1553.006, T1555, T1555.005, T1559, T1559.002, T1566, T1566.001, T1566.003, T1574, T1574.002, T1574.013, T1601, T1601.001, T1601.002, T1606, T1606.001, T1611"
esx-9.vmk-storage,ESX,The ESX host must protect the confidentiality and integrity of transmitted storage traffic.,P0,CRY-03,"T1020.001, T1040, T1090, T1090.004, T1550.001, T1550.004, T1552.007, T1557, T1557.001, T1557.002, T1557.003, T1557.004, T1562, T1562.006, T1562.009, T1562.010, T1602, T1602.001, T1602.002, T1622"
esx-9.vmk-vmotion,ESX,The ESX host must protect the confidentiality and integrity of transmitted vMotion traffic.,P0,CRY-03,"T1020.001, T1040, T1090, T1090.004, T1550.001, T1550.004, T1552.007, T1557, T1557.001, T1557.002, T1557.003, T1557.004, T1562, T1562.006, T1562.009, T1562.010, T1602, T1602.001, T1602.002, T1622"
esx-9.vmotion-encryption-offload,ESX,Accelerate vMotion encryption using available hardware offload on ESX hosts.,P2,CRY-03,"T1020.001, T1040, T1090, T1090.004, T1550.001, T1550.004, T1552.007, T1557, T1557.001, T1557.002, T1557.003, T1557.004, T1562, T1562.006, T1562.009, T1562.010, T1602, T1602.001, T1602.002, T1622"
fleet-9.access-token,Operations,Limit the maximum lifetime of access tokens.,P0,IAC-10,"T1003, T1003.001, T1003.002, T1003.003, T1003.004, T1003.005, T1003.006, T1003.007, T1003.008, T1021, T1021.001, T1021.004, T1021.007, T1021.008, T1040, T1072, T1078, T1078.002, T1078.004, T1098.001, T1098.002, T1098.003, T1098.004, T1098.006, T1110, T1110.001, T1110.002, T1110.003, T1110.004, T1111, T1114, T1114.002, T1133, T1136, T1136.001, T1136.002, T1136.003, T1212, T1528, T1530, T1539, T1550.003, T1552, T1552.001, T1552.002, T1552.004, T1552.006, T1555, T1555.001, T1555.002, T1555.004, T1555.005, T1556, T1556.001, T1556.003, T1556.004, T1556.005, T1556.009, T1558, T1558.001, T1558.002, T1558.003, T1558.004, T1558.005, T1563.001, T1599, T1599.001, T1601, T1601.001, T1601.002, T1621, T1649"
fleet-9.all-users-group,Operations,Do not automatically include all users in role assignments.,P2,IAC-20,"T1003, T1003.001, T1003.002, T1003.003, T1003.004, T1003.005, T1003.006, T1003.007, T1003.008, T1005, T1020.001, T1021, T1021.001, T1021.002, T1021.003, T1021.004, T1021.005, T1021.006, T1021.007, T1021.008, T1025, T1027, T1036, T1036.003, T1036.005, T1036.010, T1037, T1037.002, T1037.003, T1037.004, T1037.005, T1041, T1047, T1048, T1048.001, T1048.002, T1048.003, T1052, T1052.001, T1053, T1053.002, T1053.003, T1053.005, T1053.006, T1053.007, T1055, T1055.008, T1055.009, T1056.003, T1059, T1059.001, T1059.002, T1059.003, T1059.004, T1059.005, T1059.006, T1059.007, T1059.008, T1059.009, T1059.010, T1059.011, T1070, T1070.001, T1070.002, T1070.003, T1070.007, T1070.008, T1070.009, T1071.004, T1072, T1078, T1078.002, T1078.003, T1078.004, T1080, T1087.004, T1090, T1090.003, T1091, T1095, T1098, T1098.001, T1098.002, T1098.003, T1098.004, T1098.005, T1098.006, T1098.007, T1110, T1110.001, T1110.002, T1110.003, T1110.004, T1114, T1114.002, T1133, T1134, T1134.001, T1134.002, T1134.003, T1134.005, T1136, T1136.001, T1136.002, T1136.003, T1185, T1187, T1190, T1195, T1197, T1199, T1200, T1205, T1205.001, T1210, T1213, T1213.001, T1213.002, T1213.003, T1213.004, T1213.005, T1218, T1218.002, T1218.007, T1218.012, T1219, T1222, T1222.001, T1222.002, T1484, T1485, T1485.001, T1486, T1489, T1490, T1491, T1491.001, T1491.002, T1495, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505, T1505.002, T1505.003, T1505.004, T1505.005, T1525, T1528, T1530, T1537, T1538, T1539, T1542, T1542.001, T1542.003, T1542.004, T1542.005, T1543, T1543.001, T1543.002, T1543.003, T1543.004, T1543.005, T1546, T1546.003, T1546.004, T1546.013, T1547.003, T1547.004, T1547.006, T1547.007, T1547.009, T1547.012, T1547.013, T1548, T1548.002, T1548.003, T1548.005, T1548.006, T1550, T1550.002, T1550.003, T1552, T1552.002, T1552.005, T1552.007, T1553, T1553.003, T1555, T1555.002, T1555.005, T1555.006, T1556, T1556.001, T1556.003, T1556.004, T1556.006, T1556.007, T1556.008, T1556.009, T1557, T1557.001, T1557.002, T1557.003, T1557.004, T1558, T1558.001, T1558.002, T1558.003, T1558.004, T1558.005, T1559, T1559.001, T1561, T1561.001, T1561.002, T1562, T1562.001, T1562.002, T1562.004, T1562.006, T1562.007, T1562.008, T1562.009, T1562.012, T1563, T1563.001, T1563.002, T1564.004, T1565, T1565.001, T1565.003, T1567, T1569, T1569.001, T1569.002, T1570, T1572, T1574, T1574.004, T1574.005, T1574.007, T1574.008, T1574.009, T1574.010, T1574.012, T1574.014, T1578, T1578.001, T1578.002, T1578.003, T1578.005, T1580, T1599, T1599.001, T1601, T1601.001, T1601.002, T1602, T1602.001, T1602.002, T1606, T1606.001, T1606.002, T1609, T1610, T1611, T1612, T1613, T1619, T1622, T1647, T1648, T1651, T1654"
fleet-9.api-token,Operations,Limit the maximum lifetime of API tokens.,P1,IAC-10,"T1003, T1003.001, T1003.002, T1003.003, T1003.004, T1003.005, T1003.006, T1003.007, T1003.008, T1021, T1021.001, T1021.004, T1021.007, T1021.008, T1040, T1072, T1078, T1078.002, T1078.004, T1098.001, T1098.002, T1098.003, T1098.004, T1098.006, T1110, T1110.001, T1110.002, T1110.003, T1110.004, T1111, T1114, T1114.002, T1133, T1136, T1136.001, T1136.002, T1136.003, T1212, T1528, T1530, T1539, T1550.003, T1552, T1552.001, T1552.002, T1552.004, T1552.006, T1555, T1555.001, T1555.002, T1555.004, T1555.005, T1556, T1556.001, T1556.003, T1556.004, T1556.005, T1556.009, T1558, T1558.001, T1558.002, T1558.003, T1558.004, T1558.005, T1563.001, T1599, T1599.001, T1601, T1601.001, T1601.002, T1621, T1649"
fleet-9.dns,Operations,Configure fleet-wide DNS settings.,P1,NET-10,"T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1553.004, T1566, T1566.001, T1566.002, T1568, T1568.002, T1598, T1598.002, T1598.003"
fleet-9.password-policy,Operations,Configure a fleet-wide password policy.,P0,IAC-22,"T1021, T1021.001, T1021.004, T1078.002, T1078.004, T1110, T1110.001, T1110.002, T1110.003, T1110.004, T1133, T1530, T1556, T1556.001, T1556.003, T1556.004"
guest-9.tools-add-feature,ESX,The guest OS must disable automatic addition of optional VMware Tools features.,P0,CHG-04,"T1003, T1003.001, T1003.002, T1003.003, T1003.004, T1003.005, T1003.006, T1003.007, T1003.008, T1020.001, T1021, T1021.001, T1021.002, T1021.003, T1021.004, T1021.005, T1021.006, T1021.008, T1047, T1053, T1053.002, T1053.003, T1053.005, T1053.006, T1053.007, T1055, T1055.008, T1056.003, T1059, T1059.001, T1059.006, T1059.008, T1072, T1078, T1078.002, T1078.003, T1078.004, T1098, T1098.001, T1098.002, T1098.003, T1098.004, T1098.005, T1098.007, T1134, T1134.001, T1134.002, T1134.003, T1136, T1136.001, T1136.002, T1136.003, T1137.002, T1176, T1185, T1190, T1195, T1195.001, T1195.003, T1197, T1210, T1213, T1213.001, T1213.002, T1213.005, T1218, T1218.007, T1218.015, T1222, T1222.001, T1222.002, T1484, T1489, T1495, T1505, T1505.002, T1525, T1528, T1530, T1537, T1542, T1542.001, T1542.003, T1542.004, T1542.005, T1543, T1543.001, T1543.002, T1543.003, T1543.004, T1546.003, T1546.016, T1547.003, T1547.004, T1547.006, T1547.007, T1547.009, T1547.012, T1547.013, T1548, T1548.002, T1548.003, T1548.005, T1548.006, T1550, T1550.002, T1550.003, T1552, T1552.002, T1552.007, T1553, T1553.006, T1554, T1556, T1556.001, T1556.003, T1556.004, T1556.008, T1556.009, T1558, T1558.001, T1558.002, T1558.003, T1559, T1559.001, T1559.003, T1562, T1562.001, T1562.002, T1562.004, T1562.006, T1562.007, T1562.008, T1562.009, T1562.011, T1562.012, T1563, T1563.001, T1563.002, T1564.008, T1569, T1569.001, T1569.002, T1574, T1574.005, T1574.010, T1574.011, T1574.012, T1574.014, T1578, T1578.001, T1578.002, T1578.003, T1599, T1599.001, T1601, T1601.001, T1601.002, T1611, T1619, T1621, T1647"
guest-9.tools-allow-transforms,ESX,The guest OS must disable MSI transforms in VMware Tools auto-upgrades.,P2,CHG-04,"T1003, T1003.001, T1003.002, T1003.003, T1003.004, T1003.005, T1003.006, T1003.007, T1003.008, T1020.001, T1021, T1021.001, T1021.002, T1021.003, T1021.004, T1021.005, T1021.006, T1021.008, T1047, T1053, T1053.002, T1053.003, T1053.005, T1053.006, T1053.007, T1055, T1055.008, T1056.003, T1059, T1059.001, T1059.006, T1059.008, T1072, T1078, T1078.002, T1078.003, T1078.004, T1098, T1098.001, T1098.002, T1098.003, T1098.004, T1098.005, T1098.007, T1134, T1134.001, T1134.002, T1134.003, T1136, T1136.001, T1136.002, T1136.003, T1137.002, T1176, T1185, T1190, T1195, T1195.001, T1195.003, T1197, T1210, T1213, T1213.001, T1213.002, T1213.005, T1218, T1218.007, T1218.015, T1222, T1222.001, T1222.002, T1484, T1489, T1495, T1505, T1505.002, T1525, T1528, T1530, T1537, T1542, T1542.001, T1542.003, T1542.004, T1542.005, T1543, T1543.001, T1543.002, T1543.003, T1543.004, T1546.003, T1546.016, T1547.003, T1547.004, T1547.006, T1547.007, T1547.009, T1547.012, T1547.013, T1548, T1548.002, T1548.003, T1548.005, T1548.006, T1550, T1550.002, T1550.003, T1552, T1552.002, T1552.007, T1553, T1553.006, T1554, T1556, T1556.001, T1556.003, T1556.004, T1556.008, T1556.009, T1558, T1558.001, T1558.002, T1558.003, T1559, T1559.001, T1559.003, T1562, T1562.001, T1562.002, T1562.004, T1562.006, T1562.007, T1562.008, T1562.009, T1562.011, T1562.012, T1563, T1563.001, T1563.002, T1564.008, T1569, T1569.001, T1569.002, T1574, T1574.005, T1574.010, T1574.011, T1574.012, T1574.014, T1578, T1578.001, T1578.002, T1578.003, T1599, T1599.001, T1601, T1601.001, T1601.002, T1611, T1619, T1621, T1647"
guest-9.tools-deactivate-appinfo,ESX,The guest OS must deactivate Appinfo information gathering unless required.,P0,CFG-03,"T1003, T1003.001, T1003.002, T1003.005, T1008, T1011, T1011.001, T1020.001, T1021, T1021.001, T1021.002, T1021.003, T1021.005, T1021.006, T1021.008, T1027, T1036, T1036.005, T1036.007, T1036.008, T1037, T1037.001, T1040, T1046, T1047, T1048, T1048.001, T1048.002, T1048.003, T1052, T1052.001, T1053, T1053.002, T1053.005, T1059, T1059.005, T1059.007, T1059.009, T1059.010, T1068, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1072, T1078, T1078.004, T1080, T1087, T1087.001, T1087.002, T1090, T1090.001, T1090.002, T1090.003, T1092, T1095, T1098, T1098.001, T1098.004, T1098.007, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1106, T1112, T1127, T1127.002, T1129, T1133, T1135, T1136, T1136.002, T1136.003, T1176, T1187, T1190, T1195, T1195.001, T1195.002, T1197, T1199, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1210, T1213, T1213.001, T1213.002, T1213.004, T1213.005, T1216, T1216.001, T1216.002, T1218, T1218.001, T1218.002, T1218.003, T1218.004, T1218.005, T1218.007, T1218.008, T1218.009, T1218.012, T1218.013, T1218.014, T1218.015, T1219, T1220, T1221, T1482, T1484, T1489, T1490, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505.004, T1525, T1530, T1537, T1542.004, T1542.005, T1543, T1546.002, T1546.006, T1546.008, T1546.009, T1546.010, T1547.004, T1547.006, T1547.007, T1547.009, T1548, T1548.001, T1548.003, T1548.004, T1548.006, T1552, T1552.003, T1552.005, T1552.007, T1553, T1553.001, T1553.003, T1553.004, T1553.005, T1553.006, T1555.004, T1555.006, T1556, T1556.002, T1556.008, T1556.009, T1557, T1557.001, T1557.002, T1557.003, T1559, T1559.002, T1559.003, T1562, T1562.001, T1562.002, T1562.003, T1562.004, T1562.006, T1562.009, T1562.010, T1563, T1563.001, T1563.002, T1564.002, T1564.003, T1564.006, T1564.008, T1564.009, T1565, T1565.003, T1569, T1569.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1574, T1574.001, T1574.006, T1574.007, T1574.008, T1574.009, T1574.012, T1574.014, T1590.002, T1599, T1599.001, T1601, T1601.001, T1601.002, T1602, T1602.001, T1602.002, T1609, T1610, T1611, T1612, T1613, T1622, T1647, T1648, T1653"
guest-9.tools-deactivate-containerinfo,ESX,The guest OS must deactivate ContainerInfo unless required.,P0,CFG-03,"T1003, T1003.001, T1003.002, T1003.005, T1008, T1011, T1011.001, T1020.001, T1021, T1021.001, T1021.002, T1021.003, T1021.005, T1021.006, T1021.008, T1027, T1036, T1036.005, T1036.007, T1036.008, T1037, T1037.001, T1040, T1046, T1047, T1048, T1048.001, T1048.002, T1048.003, T1052, T1052.001, T1053, T1053.002, T1053.005, T1059, T1059.005, T1059.007, T1059.009, T1059.010, T1068, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1072, T1078, T1078.004, T1080, T1087, T1087.001, T1087.002, T1090, T1090.001, T1090.002, T1090.003, T1092, T1095, T1098, T1098.001, T1098.004, T1098.007, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1106, T1112, T1127, T1127.002, T1129, T1133, T1135, T1136, T1136.002, T1136.003, T1176, T1187, T1190, T1195, T1195.001, T1195.002, T1197, T1199, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1210, T1213, T1213.001, T1213.002, T1213.004, T1213.005, T1216, T1216.001, T1216.002, T1218, T1218.001, T1218.002, T1218.003, T1218.004, T1218.005, T1218.007, T1218.008, T1218.009, T1218.012, T1218.013, T1218.014, T1218.015, T1219, T1220, T1221, T1482, T1484, T1489, T1490, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505.004, T1525, T1530, T1537, T1542.004, T1542.005, T1543, T1546.002, T1546.006, T1546.008, T1546.009, T1546.010, T1547.004, T1547.006, T1547.007, T1547.009, T1548, T1548.001, T1548.003, T1548.004, T1548.006, T1552, T1552.003, T1552.005, T1552.007, T1553, T1553.001, T1553.003, T1553.004, T1553.005, T1553.006, T1555.004, T1555.006, T1556, T1556.002, T1556.008, T1556.009, T1557, T1557.001, T1557.002, T1557.003, T1559, T1559.002, T1559.003, T1562, T1562.001, T1562.002, T1562.003, T1562.004, T1562.006, T1562.009, T1562.010, T1563, T1563.001, T1563.002, T1564.002, T1564.003, T1564.006, T1564.008, T1564.009, T1565, T1565.003, T1569, T1569.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1574, T1574.001, T1574.006, T1574.007, T1574.008, T1574.009, T1574.012, T1574.014, T1590.002, T1599, T1599.001, T1601, T1601.001, T1601.002, T1602, T1602.001, T1602.002, T1609, T1610, T1611, T1612, T1613, T1622, T1647, T1648, T1653"
guest-9.tools-deactivate-guestoperations,ESX,The guest OS must deactivate Guest Operations unless required.,P1,CFG-03,"T1003, T1003.001, T1003.002, T1003.005, T1008, T1011, T1011.001, T1020.001, T1021, T1021.001, T1021.002, T1021.003, T1021.005, T1021.006, T1021.008, T1027, T1036, T1036.005, T1036.007, T1036.008, T1037, T1037.001, T1040, T1046, T1047, T1048, T1048.001, T1048.002, T1048.003, T1052, T1052.001, T1053, T1053.002, T1053.005, T1059, T1059.005, T1059.007, T1059.009, T1059.010, T1068, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1072, T1078, T1078.004, T1080, T1087, T1087.001, T1087.002, T1090, T1090.001, T1090.002, T1090.003, T1092, T1095, T1098, T1098.001, T1098.004, T1098.007, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1106, T1112, T1127, T1127.002, T1129, T1133, T1135, T1136, T1136.002, T1136.003, T1176, T1187, T1190, T1195, T1195.001, T1195.002, T1197, T1199, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1210, T1213, T1213.001, T1213.002, T1213.004, T1213.005, T1216, T1216.001, T1216.002, T1218, T1218.001, T1218.002, T1218.003, T1218.004, T1218.005, T1218.007, T1218.008, T1218.009, T1218.012, T1218.013, T1218.014, T1218.015, T1219, T1220, T1221, T1482, T1484, T1489, T1490, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505.004, T1525, T1530, T1537, T1542.004, T1542.005, T1543, T1546.002, T1546.006, T1546.008, T1546.009, T1546.010, T1547.004, T1547.006, T1547.007, T1547.009, T1548, T1548.001, T1548.003, T1548.004, T1548.006, T1552, T1552.003, T1552.005, T1552.007, T1553, T1553.001, T1553.003, T1553.004, T1553.005, T1553.006, T1555.004, T1555.006, T1556, T1556.002, T1556.008, T1556.009, T1557, T1557.001, T1557.002, T1557.003, T1559, T1559.002, T1559.003, T1562, T1562.001, T1562.002, T1562.003, T1562.004, T1562.006, T1562.009, T1562.010, T1563, T1563.001, T1563.002, T1564.002, T1564.003, T1564.006, T1564.008, T1564.009, T1565, T1565.003, T1569, T1569.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1574, T1574.001, T1574.006, T1574.007, T1574.008, T1574.009, T1574.012, T1574.014, T1590.002, T1599, T1599.001, T1601, T1601.001, T1601.002, T1602, T1602.001, T1602.002, T1609, T1610, T1611, T1612, T1613, T1622, T1647, T1648, T1653"
guest-9.tools-deactivate-gueststoreupgrade,ESX,The guest OS must deactivate Guest Store Upgrade operations unless required.,P0,CFG-03,"T1003, T1003.001, T1003.002, T1003.005, T1008, T1011, T1011.001, T1020.001, T1021, T1021.001, T1021.002, T1021.003, T1021.005, T1021.006, T1021.008, T1027, T1036, T1036.005, T1036.007, T1036.008, T1037, T1037.001, T1040, T1046, T1047, T1048, T1048.001, T1048.002, T1048.003, T1052, T1052.001, T1053, T1053.002, T1053.005, T1059, T1059.005, T1059.007, T1059.009, T1059.010, T1068, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1072, T1078, T1078.004, T1080, T1087, T1087.001, T1087.002, T1090, T1090.001, T1090.002, T1090.003, T1092, T1095, T1098, T1098.001, T1098.004, T1098.007, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1106, T1112, T1127, T1127.002, T1129, T1133, T1135, T1136, T1136.002, T1136.003, T1176, T1187, T1190, T1195, T1195.001, T1195.002, T1197, T1199, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1210, T1213, T1213.001, T1213.002, T1213.004, T1213.005, T1216, T1216.001, T1216.002, T1218, T1218.001, T1218.002, T1218.003, T1218.004, T1218.005, T1218.007, T1218.008, T1218.009, T1218.012, T1218.013, T1218.014, T1218.015, T1219, T1220, T1221, T1482, T1484, T1489, T1490, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505.004, T1525, T1530, T1537, T1542.004, T1542.005, T1543, T1546.002, T1546.006, T1546.008, T1546.009, T1546.010, T1547.004, T1547.006, T1547.007, T1547.009, T1548, T1548.001, T1548.003, T1548.004, T1548.006, T1552, T1552.003, T1552.005, T1552.007, T1553, T1553.001, T1553.003, T1553.004, T1553.005, T1553.006, T1555.004, T1555.006, T1556, T1556.002, T1556.008, T1556.009, T1557, T1557.001, T1557.002, T1557.003, T1559, T1559.002, T1559.003, T1562, T1562.001, T1562.002, T1562.003, T1562.004, T1562.006, T1562.009, T1562.010, T1563, T1563.001, T1563.002, T1564.002, T1564.003, T1564.006, T1564.008, T1564.009, T1565, T1565.003, T1569, T1569.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1574, T1574.001, T1574.006, T1574.007, T1574.008, T1574.009, T1574.012, T1574.014, T1590.002, T1599, T1599.001, T1601, T1601.001, T1601.002, T1602, T1602.001, T1602.002, T1609, T1610, T1611, T1612, T1613, T1622, T1647, T1648, T1653"
